age,gender,faculty_name,teaching_experience,ub_profile,teaching_mode,ia_knowledge,ia_normative_ub,ia_normative_read,interest_knowledge_teaching_and_research,knowledge_in_evaluation,knowledge_in_teaching,knowledge_in_material_creation,knowledge_in_research,uses_ia_in_teaching,uses_ia_in_research,uses_ia_in_creation,frequency_ia_teaching,frequency_ia_research,asks_students_to_use_ia,students_usage_purpose,detected_inappropriate_ia_use,made_changes_due_to_ia,students_ia_opinions,importance_teaching,importance_research,ia_student_agreement,faculty_ia_strategy,perceived_ia_impact,feelings_about_ia,received_training,interest_in_ia_training
69,Altres,Biologia,Més de 20 anys,PreDoc,Únicament virtual,Coneixement expert,No hi ha una normativa o orientació,Si,Tinc un interès moderat,En desacord,Molt en desacord,Molt d'acord,En desacord,Avaluar tasques,Recollir dades,No en faig servir,Mai,Mai,No,Per fer resums de llibres o articles,Sí,No,Usen les IA com expert a qui preguntar,7,9,1,altres ...,Un fet positiu,Engrescat/da,He rebut una formació del IDP/ICE,9
26,Altres,Biologia,Entre 10 i 20 anys,PostDoc,Únicament virtual,Cap coneixement,Sí hi ha una normativa o orientació,No,No vull saber res de la IA,D'acord,D'acord,Molt d'acord,Molt d'acord,No en faig servir,Anàlisi de textos,Presentacions,Diàriament,Diàriament,Sí,Usen les IA perquè els hi faci treballs o tasques,Sí,No,Per fer resums de llibres o articles,4,9,3,altres ...,Un fet negatiu,Engrescat/da,He estat o sóc formador/a d'IA,3
51,Masculí,Biologia,Menys de 5 anys,Titular,Presencial i virtual,Coneixement expert,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt d'acord,En desacord,D'acord,Molt d'acord,Crear materials docents,Anàlisi de dades,No en faig servir,Mai,Mai,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,altres ...,6,5,1,Evitar-les,Un fet negatiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,1
31,No binari,Biologia,Menys de 5 anys,Associat/da,Presencial i virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,No,Tinc molt d'interès,Molt d'acord,En desacord,D'acord,D'acord,Crear materials docents,Transcripcions,Vídeos,Esporàdicament,Diàriament,Sí,Per fer resums de llibres o articles,Sí,Sí,Usen les IA per practicar o auto-avaluar-se,7,1,3,altres ...,Un fet positiu,Engrescat/da,No tinc cap formació,5
37,Altres,Biologia,Entre 5 i 10 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Bon coneixement,No hi ha una normativa o orientació,Si,Tinc poc interès,Molt d'acord,En desacord,Molt d'acord,Molt en desacord,No en faig servir,Transcripcions,Textos,Diàriament,Mai,Sí,altres ...,Sí,Sí,Usen les IA per practicar o auto-avaluar-se,3,8,3,Integrar-les,Un fet negatiu,Sobrepassat/da,He rebut una formació fora de la UB,2
28,Altres,Biologia,Entre 5 i 10 anys,Catedràtic/a,Presencial i virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,Molt en desacord,En desacord,En desacord,Molt en desacord,Crear materials docents,Transcripcions,Vídeos,Esporàdicament,Diàriament,Sí,Usen les IA per experimentar amb elles,Sí,No,Usen les IA com expert a qui preguntar,5,2,3,Evitar-les,Un fet negatiu,Engrescat/da,He rebut una formació del IDP/ICE,1
45,Femení,Biologia,Més de 20 anys,Associat/da,Presencial i virtual,Coneixement expert,No hi ha una normativa o orientació,Si,Tinc poc interès,Molt en desacord,Molt en desacord,En desacord,En desacord,Avaluar processos,No en faig servir,Textos,Mai,Setmanalment,Sí,Usen les IA perquè els hi faci treballs o tasques,No,Sí,Usen les IA perquè els hi faci treballs o tasques,4,2,1,Evitar-les,Un fet negatiu,Motivat/da,M'he autoformat,4
62,Altres,Biologia,Menys de 5 anys,Col·laborador/a permanent,Únicament virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt d'acord,D'acord,Molt en desacord,Molt d'acord,No en faig servir,Anàlisi de textos,Vídeos,Diàriament,Setmanalment,Sí,altres ...,No,Sí,Usen les IA com expert a qui preguntar,9,4,2,altres ...,Un fet negatiu,Més productiu/va,He estat o sóc formador/a d'IA,5
60,Femení,Biologia,Entre 5 i 10 anys,Lector/a,Únicament virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,Molt en desacord,Molt en desacord,Molt d'acord,Crear activitats d'aprenentatge,Anàlisi de dades,Textos,Diàriament,Mai,Sí,Usen les IA per practicar o auto-avaluar-se,Sí,Sí,Usen les IA per practicar o auto-avaluar-se,1,6,2,altres ...,Un fet negatiu,Analfabet/ta,He rebut una formació del IDP/ICE,3
33,Prefereixo no contestar,Biologia,Més de 20 anys,Catedràtic/a,Únicament virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt en desacord,Molt en desacord,Molt en desacord,D'acord,Avaluar processos,Recollir dades,Vídeos,Setmanalment,Mai,No,Per fer resums de llibres o articles,Sí,No,altres ...,3,4,2,altres ...,Un fet negatiu,"Abandonat/da, sense suport",He rebut una formació al meu departament o facultat,2
46,Prefereixo no contestar,Ciències de la Terra,Entre 10 i 20 anys,Catedràtic/a,Únicament presencial,Coneixement expert,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,Molt d'acord,Molt en desacord,Molt d'acord,En desacord,Crear activitats d'aprenentatge,Anàlisi de dades,Imatges,Esporàdicament,Esporàdicament,Sí,Usen les IA com expert a qui preguntar,No,Sí,Usen les IA perquè els hi faci treballs o tasques,2,7,2,Evitar-les,Un fet positiu,Analfabet/ta,He rebut una formació del IDP/ICE,7
57,Altres,Ciències de la Terra,Entre 5 i 10 anys,Lector/a,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,En desacord,En desacord,D'acord,En desacord,Crear activitats d'aprenentatge,Anàlisi de textos,Presentacions,Mai,Diàriament,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,altres ...,4,6,1,Superar-les,Un fet negatiu,Analfabet/ta,M'he autoformat,3
27,Altres,Ciències de la Terra,Menys de 5 anys,Catedràtic/a,Únicament presencial,Poc coneixement,Desconec si hi ha una normativa o orientació,No,No vull saber res de la IA,D'acord,D'acord,Molt d'acord,D'acord,No en faig servir,Recollir dades,Situacions d'aprenentatge,Diàriament,Diàriament,Sí,altres ...,No,No,Usen les IA com expert a qui preguntar,2,8,3,altres ...,Un fet positiu,Motivat/da,He rebut una formació fora de la UB,5
66,Altres,Ciències de la Terra,Entre 5 i 10 anys,Associat/da,Presencial i virtual,Poc coneixement,No hi ha una normativa o orientació,Si,Tinc un interès moderat,En desacord,Molt en desacord,Molt en desacord,Molt d'acord,Crear activitats d'aprenentatge,Recollir dades,Mapes conceptuals o esquemes,Mai,Setmanalment,Sí,Usen les IA per experimentar amb elles,No,Sí,Per fer resums de llibres o articles,7,3,3,Superar-les,Un fet negatiu,"Abandonat/da, sense suport",He rebut una formació al meu departament o facultat,8
60,No binari,Ciències de la Terra,Més de 20 anys,Agregat/da,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,D'acord,Molt d'acord,Molt d'acord,En desacord,Crear materials docents,Anàlisi de textos,Vídeos,Diàriament,Diàriament,No,Usen les IA perquè els hi faci treballs o tasques,No,No,Usen les IA com expert a qui preguntar,1,3,2,Prohibir-les,Un fet positiu,Més productiu/va,No tinc cap formació,8
35,Altres,Ciències de la Terra,Entre 10 i 20 anys,PreDoc,Presencial i virtual,Poc coneixement,No hi ha una normativa o orientació,Si,Tinc poc interès,D'acord,En desacord,Molt en desacord,En desacord,Crear materials docents,No en faig servir,Exàmens o qüestionaris,Mai,Setmanalment,Sí,Usen les IA perquè els hi faci treballs o tasques,Sí,No,Usen les IA com expert a qui preguntar,4,6,2,Superar-les,Un fet positiu,Més productiu/va,He rebut una formació fora de la UB,4
33,Femení,Ciències de la Terra,Menys de 5 anys,Lector/a,Únicament presencial,Poc coneixement,Sí hi ha una normativa o orientació,No,Tinc un interès moderat,D'acord,Molt d'acord,Molt d'acord,Molt en desacord,No en faig servir,No en faig servir,Vídeos,Diàriament,Diàriament,Sí,Per fer resums de llibres o articles,Sí,Sí,altres ...,6,4,3,Integrar-les,Un fet positiu,Més productiu/va,No tinc cap formació,1
62,Masculí,Ciències de la Terra,Més de 20 anys,Col·laborador/a permanent,Únicament virtual,Cap coneixement,No hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,Molt d'acord,Molt en desacord,Molt en desacord,Preparar i planificar les classes,Recollir dades,Imatges,Esporàdicament,Mai,No,Per fer resums de llibres o articles,No,No,Usen les IA com expert a qui preguntar,5,7,1,Integrar-les,Un fet negatiu,Engrescat/da,He estat o sóc formador/a d'IA,9
63,Femení,Ciències de la Terra,Menys de 5 anys,Catedràtic/a,Únicament presencial,Cap coneixement,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt en desacord,En desacord,Molt d'acord,Molt d'acord,Avaluar processos,Anàlisi de textos,Textos,Diàriament,Esporàdicament,Sí,Per fer resums de llibres o articles,Sí,No,altres ...,9,5,1,altres ...,Un fet negatiu,Analfabet/ta,No tinc cap formació,2
31,Altres,Ciències de la Terra,Més de 20 anys,Col·laborador/a permanent,Presencial i virtual,Cap coneixement,Sí hi ha una normativa o orientació,Si,Tinc poc interès,Molt d'acord,Molt d'acord,En desacord,Molt en desacord,Crear activitats d'aprenentatge,Anàlisi de dades,Presentacions,Setmanalment,Diàriament,No,Usen les IA perquè els hi faci treballs o tasques,Sí,No,Usen les IA com expert a qui preguntar,3,4,2,Prohibir-les,Un fet positiu,"Abandonat/da, sense suport",No tinc cap formació,9
66,Altres,Dret,Entre 10 i 20 anys,Col·laborador/a permanent,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,D'acord,En desacord,En desacord,D'acord,Preparar i planificar les classes,No en faig servir,Imatges,Setmanalment,Setmanalment,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,Usen les IA com expert a qui preguntar,8,8,3,Integrar-les,Un fet positiu,Més productiu/va,He rebut una formació fora de la UB,6
45,Masculí,Dret,Més de 20 anys,Col·laborador/a permanent,Únicament virtual,Coneixement expert,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,D'acord,En desacord,Molt en desacord,Molt d'acord,Avaluar processos,Anàlisi de textos,Exàmens o qüestionaris,Setmanalment,Setmanalment,No,Per fer resums de llibres o articles,No,No,Usen les IA com expert a qui preguntar,4,3,3,Evitar-les,Un fet negatiu,Motivat/da,He rebut una formació fora de la UB,3
66,Masculí,Dret,Entre 10 i 20 anys,PreDoc,Presencial i virtual,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,D'acord,Molt d'acord,D'acord,En desacord,Avaluar tasques,Transcripcions,Imatges,Esporàdicament,Esporàdicament,Sí,Usen les IA com expert a qui preguntar,Sí,No,Usen les IA per practicar o auto-avaluar-se,4,2,2,altres ...,Un fet negatiu,Motivat/da,No tinc cap formació,4
38,No binari,Dret,Més de 20 anys,PreDoc,Presencial i virtual,Cap coneixement,No hi ha una normativa o orientació,Si,Tinc poc interès,Molt en desacord,Molt d'acord,Molt d'acord,En desacord,Avaluar processos,No en faig servir,Textos,Setmanalment,Mai,No,Usen les IA perquè els hi faci treballs o tasques,Sí,No,Per fer resums de llibres o articles,6,1,2,Prohibir-les,Un fet negatiu,"Abandonat/da, sense suport",He rebut una formació del IDP/ICE,8
34,Prefereixo no contestar,Dret,Menys de 5 anys,Agregat/da,Presencial i virtual,Poc coneixement,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt en desacord,En desacord,Molt d'acord,En desacord,Crear activitats d'aprenentatge,Recollir dades,Presentacions,Diàriament,Setmanalment,Sí,altres ...,Sí,Sí,Usen les IA com expert a qui preguntar,7,6,2,Integrar-les,Un fet positiu,Analfabet/ta,M'he autoformat,9
69,Prefereixo no contestar,Dret,Més de 20 anys,Associat/da,Únicament presencial,Coneixement expert,No hi ha una normativa o orientació,Si,Tinc un interès moderat,D'acord,Molt d'acord,D'acord,En desacord,Crear materials docents,Recollir dades,Presentacions,Mai,Mai,No,Per fer resums de llibres o articles,No,Sí,Usen les IA per experimentar amb elles,1,5,3,Evitar-les,Un fet negatiu,Motivat/da,M'he autoformat,3
35,Altres,Dret,Entre 5 i 10 anys,PostDoc,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt en desacord,En desacord,Molt en desacord,Molt d'acord,Avaluar tasques,Recollir dades,Exàmens o qüestionaris,Diàriament,Setmanalment,Sí,Usen les IA perquè els hi faci treballs o tasques,No,Sí,Usen les IA per practicar o auto-avaluar-se,2,9,3,Prohibir-les,Un fet positiu,Motivat/da,No tinc cap formació,2
69,Masculí,Dret,Menys de 5 anys,Lector/a,Únicament presencial,Cap coneixement,No hi ha una normativa o orientació,Si,Tinc poc interès,En desacord,Molt d'acord,En desacord,Molt en desacord,Crear materials docents,Recollir dades,Textos,Esporàdicament,Esporàdicament,Sí,Per fer resums de llibres o articles,No,Sí,altres ...,4,1,2,Integrar-les,Un fet positiu,Motivat/da,He rebut una formació del IDP/ICE,8
41,Prefereixo no contestar,Dret,Entre 5 i 10 anys,PreDoc,Únicament presencial,Coneixement expert,No hi ha una normativa o orientació,Si,No vull saber res de la IA,En desacord,D'acord,Molt d'acord,En desacord,Avaluar processos,Visualització de dades,Textos,Diàriament,Diàriament,No,Usen les IA per experimentar amb elles,Sí,Sí,Per fer resums de llibres o articles,8,3,3,Prohibir-les,Un fet negatiu,Motivat/da,He estat o sóc formador/a d'IA,5
43,No binari,Dret,Entre 5 i 10 anys,Associat/da,Únicament virtual,Poc coneixement,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,En desacord,Molt d'acord,Molt d'acord,D'acord,No en faig servir,Recollir dades,Mapes conceptuals o esquemes,Esporàdicament,Diàriament,No,Usen les IA per experimentar amb elles,Sí,No,altres ...,3,8,2,altres ...,Un fet negatiu,Engrescat/da,He rebut una formació del IDP/ICE,1
25,No binari,Economia i Empresa,Més de 20 anys,PostDoc,Únicament presencial,Cap coneixement,No hi ha una normativa o orientació,Si,No vull saber res de la IA,Molt d'acord,Molt d'acord,En desacord,En desacord,Preparar i planificar les classes,Transcripcions,Vídeos,Esporàdicament,Esporàdicament,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,altres ...,3,3,1,Evitar-les,Un fet positiu,Motivat/da,He rebut una formació al meu departament o facultat,5
48,Prefereixo no contestar,Economia i Empresa,Entre 5 i 10 anys,Associat/da,Únicament presencial,Coneixement expert,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt d'acord,Molt d'acord,Molt d'acord,Molt d'acord,Crear activitats d'aprenentatge,Recollir dades,Imatges,Diàriament,Esporàdicament,No,altres ...,Sí,Sí,Usen les IA com expert a qui preguntar,2,1,2,Evitar-les,Un fet negatiu,Engrescat/da,He rebut una formació del IDP/ICE,1
40,Prefereixo no contestar,Economia i Empresa,Entre 10 i 20 anys,Lector/a,Presencial i virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc molt d'interès,D'acord,En desacord,Molt d'acord,D'acord,Crear materials docents,No en faig servir,Vídeos,Diàriament,Setmanalment,Sí,Per fer resums de llibres o articles,Sí,Sí,Usen les IA per experimentar amb elles,9,9,1,Evitar-les,Un fet negatiu,Analfabet/ta,M'he autoformat,5
61,Femení,Economia i Empresa,Entre 5 i 10 anys,Lector/a,Únicament presencial,Poc coneixement,No hi ha una normativa o orientació,No,Tinc molt d'interès,Molt d'acord,D'acord,Molt en desacord,En desacord,Preparar i planificar les classes,Anàlisi de dades,Mapes conceptuals o esquemes,Setmanalment,Diàriament,No,Usen les IA per experimentar amb elles,Sí,Sí,Usen les IA com expert a qui preguntar,4,6,3,Integrar-les,Un fet positiu,Analfabet/ta,M'he autoformat,5
35,Femení,Economia i Empresa,Més de 20 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Bon coneixement,Sí hi ha una normativa o orientació,Si,No vull saber res de la IA,En desacord,D'acord,Molt d'acord,En desacord,Crear materials docents,Anàlisi de textos,Textos,Mai,Setmanalment,Sí,Usen les IA com expert a qui preguntar,No,No,altres ...,9,8,1,Evitar-les,Un fet negatiu,Sobrepassat/da,He estat o sóc formador/a d'IA,6
54,Masculí,Economia i Empresa,Entre 5 i 10 anys,Catedràtic/a,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc poc interès,D'acord,En desacord,En desacord,Molt en desacord,Avaluar tasques,No en faig servir,Situacions d'aprenentatge,Mai,Diàriament,Sí,Per fer resums de llibres o articles,Sí,Sí,altres ...,2,1,3,Prohibir-les,Un fet negatiu,Més productiu/va,No tinc cap formació,9
66,Prefereixo no contestar,Economia i Empresa,Entre 5 i 10 anys,Titular,Únicament virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,En desacord,D'acord,Molt en desacord,Molt en desacord,Crear materials docents,No en faig servir,Textos,Esporàdicament,Diàriament,Sí,altres ...,No,No,Usen les IA perquè els hi faci treballs o tasques,8,1,1,Evitar-les,Un fet negatiu,Més productiu/va,He rebut una formació del IDP/ICE,2
47,No binari,Economia i Empresa,Entre 5 i 10 anys,Col·laborador/a permanent,Presencial i virtual,Poc coneixement,No hi ha una normativa o orientació,No,Tinc poc interès,Molt d'acord,D'acord,Molt en desacord,Molt en desacord,Avaluar processos,Transcripcions,No en faig servir,Esporàdicament,Setmanalment,Sí,Usen les IA per experimentar amb elles,No,Sí,Per fer resums de llibres o articles,6,8,2,Superar-les,Un fet positiu,Motivat/da,No tinc cap formació,6
35,No binari,Economia i Empresa,Més de 20 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc poc interès,D'acord,D'acord,D'acord,Molt d'acord,Avaluar tasques,Anàlisi de textos,Imatges,Esporàdicament,Mai,Sí,Usen les IA com expert a qui preguntar,Sí,Sí,altres ...,6,8,1,Integrar-les,Un fet positiu,Més productiu/va,He rebut una formació al meu departament o facultat,1
33,Altres,Economia i Empresa,Més de 20 anys,Associat/da,Únicament presencial,Bon coneixement,Sí hi ha una normativa o orientació,Si,Tinc poc interès,Molt d'acord,En desacord,D'acord,En desacord,Avaluar processos,Anàlisi de dades,Presentacions,Esporàdicament,Mai,No,Per fer resums de llibres o articles,Sí,No,altres ...,1,8,2,Prohibir-les,Un fet negatiu,Més productiu/va,He rebut una formació fora de la UB,3
56,Prefereixo no contestar,Educació,Entre 10 i 20 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Poc coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,Molt d'acord,Molt en desacord,Molt d'acord,Avaluar tasques,Recollir dades,Imatges,Mai,Mai,No,Usen les IA com expert a qui preguntar,No,No,Usen les IA per experimentar amb elles,7,9,3,Evitar-les,Un fet positiu,Analfabet/ta,He estat o sóc formador/a d'IA,7
54,No binari,Educació,Entre 10 i 20 anys,Lector/a,Únicament virtual,Coneixement expert,No hi ha una normativa o orientació,No,Tinc molt d'interès,D'acord,Molt en desacord,D'acord,Molt en desacord,Preparar i planificar les classes,Transcripcions,Mapes conceptuals o esquemes,Mai,Mai,Sí,altres ...,No,No,Usen les IA perquè els hi faci treballs o tasques,4,6,2,altres ...,Un fet positiu,Engrescat/da,He estat o sóc formador/a d'IA,2
69,Prefereixo no contestar,Educació,Menys de 5 anys,Col·laborador/a permanent,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,D'acord,D'acord,Molt d'acord,Molt en desacord,Preparar i planificar les classes,No en faig servir,Imatges,Diàriament,Diàriament,No,altres ...,Sí,No,altres ...,4,6,1,Prohibir-les,Un fet negatiu,Engrescat/da,He rebut una formació fora de la UB,1
57,Masculí,Educació,Entre 5 i 10 anys,Associat/da,Únicament presencial,Bon coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,En desacord,En desacord,En desacord,D'acord,Preparar i planificar les classes,Anàlisi de textos,No en faig servir,Diàriament,Mai,No,Usen les IA per experimentar amb elles,No,Sí,Usen les IA perquè els hi faci treballs o tasques,8,9,2,Superar-les,Un fet negatiu,Engrescat/da,He rebut una formació fora de la UB,9
67,Masculí,Educació,Entre 10 i 20 anys,Associat/da,Únicament virtual,Coneixement expert,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,Molt d'acord,En desacord,Molt en desacord,Preparar i planificar les classes,Anàlisi de dades,Vídeos,Esporàdicament,Mai,Sí,Usen les IA com expert a qui preguntar,Sí,Sí,Usen les IA per practicar o auto-avaluar-se,1,1,3,Prohibir-les,Un fet negatiu,Engrescat/da,No tinc cap formació,1
32,No binari,Educació,Menys de 5 anys,PreDoc,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt en desacord,Molt en desacord,D'acord,Molt d'acord,Avaluar tasques,Visualització de dades,Vídeos,Setmanalment,Esporàdicament,No,Usen les IA perquè els hi faci treballs o tasques,Sí,Sí,Per fer resums de llibres o articles,6,8,1,Prohibir-les,Un fet positiu,Engrescat/da,M'he autoformat,7
37,No binari,Educació,Més de 20 anys,PreDoc,Únicament presencial,Cap coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,D'acord,Molt d'acord,En desacord,Molt en desacord,No en faig servir,Anàlisi de dades,Textos,Esporàdicament,Diàriament,Sí,Usen les IA com expert a qui preguntar,Sí,Sí,Usen les IA com expert a qui preguntar,3,6,2,Integrar-les,Un fet negatiu,Més productiu/va,He estat o sóc formador/a d'IA,7
62,Prefereixo no contestar,Educació,Més de 20 anys,Agregat/da,Únicament presencial,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt en desacord,D'acord,D'acord,Molt d'acord,Avaluar tasques,Visualització de dades,Exàmens o qüestionaris,Mai,Diàriament,No,Usen les IA per experimentar amb elles,No,No,Usen les IA com expert a qui preguntar,5,9,1,Integrar-les,Un fet positiu,Motivat/da,No tinc cap formació,1
68,Masculí,Educació,Menys de 5 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,Molt en desacord,Molt en desacord,Molt d'acord,En desacord,Avaluar processos,No en faig servir,No en faig servir,Mai,Mai,Sí,altres ...,No,Sí,Usen les IA com expert a qui preguntar,7,8,2,Integrar-les,Un fet negatiu,Més productiu/va,He rebut una formació al meu departament o facultat,9
